Logic,operationId,tags,description,parameters
,getOrganizationNetworks,"['organizations', 'configure', 'networks']",List the networks that the user has privileges on in an organization,"[{'name': 'organizationId', 'in': 'path', 'type': 'string', 'required': True}, {'type': 'string', 'name': 'configTemplateId', 'in': 'query', 'description': 'An optional parameter that is the ID of a config template. Will return all networks bound to that template.'}, {'type': 'integer', 'name': 'perPage', 'in': 'query', 'description': 'The number of entries per page returned. Acceptable range is 3 - 100000. Default is 1000.'}, {'type': 'string', 'name': 'startingAfter', 'in': 'query', 'description': 'A token used by the server to indicate the start of the page. Often this is a timestamp or an ID but it is not limited to those. This parameter should not be defined by client applications. The link for the first, last, prev, or next page in the HTTP Link header should define it.'}, {'type': 'string', 'name': 'endingBefore', 'in': 'query', 'description': 'A token used by the server to indicate the end of the page. Often this is a timestamp or an ID but it is not limited to those. This parameter should not be defined by client applications. The link for the first, last, prev, or next page in the HTTP Link header should define it.'}]"
,getOrganizationConfigTemplates,"['organizations', 'configure', 'configTemplates']",List the configuration templates for this organization,"[{'name': 'organizationId', 'in': 'path', 'type': 'string', 'required': True}]"
,getOrganizationLicensesOverview,"['organizations', 'monitor', 'licenses', 'overview']",Return an overview of the license state for an organization,"[{'name': 'organizationId', 'in': 'path', 'type': 'string', 'required': True}]"
,getOrganizationInventoryDevices,"['organizations', 'configure', 'inventoryDevices']",Return the device inventory for an organization,"[{'name': 'organizationId', 'in': 'path', 'type': 'string', 'required': True}, {'type': 'integer', 'name': 'perPage', 'in': 'query', 'description': 'The number of entries per page returned. Acceptable range is 3 - 1000. Default is 1000.'}, {'type': 'string', 'name': 'startingAfter', 'in': 'query', 'description': 'A token used by the server to indicate the start of the page. Often this is a timestamp or an ID but it is not limited to those. This parameter should not be defined by client applications. The link for the first, last, prev, or next page in the HTTP Link header should define it.'}, {'type': 'string', 'name': 'endingBefore', 'in': 'query', 'description': 'A token used by the server to indicate the end of the page. Often this is a timestamp or an ID but it is not limited to those. This parameter should not be defined by client applications. The link for the first, last, prev, or next page in the HTTP Link header should define it.'}]"
,getOrganizationDevices,"['organizations', 'configure', 'devices']",List the devices in an organization,"[{'name': 'organizationId', 'in': 'path', 'type': 'string', 'required': True}, {'type': 'integer', 'name': 'perPage', 'in': 'query', 'description': 'The number of entries per page returned. Acceptable range is 3 - 1000. Default is 1000.'}, {'type': 'string', 'name': 'startingAfter', 'in': 'query', 'description': 'A token used by the server to indicate the start of the page. Often this is a timestamp or an ID but it is not limited to those. This parameter should not be defined by client applications. The link for the first, last, prev, or next page in the HTTP Link header should define it.'}, {'type': 'string', 'name': 'endingBefore', 'in': 'query', 'description': 'A token used by the server to indicate the end of the page. Often this is a timestamp or an ID but it is not limited to those. This parameter should not be defined by client applications. The link for the first, last, prev, or next page in the HTTP Link header should define it.'}, {'type': 'string', 'name': 'configurationUpdatedAfter', 'in': 'query', 'description': ""Filter results by whether or not the device's configuration has been updated after the given timestamp""}]"
,getOrganizationAdmins,"['organizations', 'configure', 'admins']",List the dashboard administrators in this organization,"[{'name': 'organizationId', 'in': 'path', 'type': 'string', 'required': True}]"
,getOrganizationBrandingPolicies,"['organizations', 'configure', 'brandingPolicies']",List the branding policies of an organization,"[{'name': 'organizationId', 'in': 'path', 'type': 'string', 'required': True}]"
,getOrganizationBrandingPoliciesPriorities,"['organizations', 'configure', 'brandingPolicies', 'priorities']",Return the branding policy IDs of an organization in priority order. IDs are ordered in ascending order of priority (IDs later in the array have higher priority).,"[{'name': 'organizationId', 'in': 'path', 'type': 'string', 'required': True}]"
,getOrganizationSaml,"['organizations', 'configure', 'saml']",Returns the SAML SSO enabled settings for an organization.,"[{'name': 'organizationId', 'in': 'path', 'type': 'string', 'required': True}]"
,getOrganizationSamlIdps,"['organizations', 'configure', 'saml', 'idps']",List the SAML IdPs in your organization.,"[{'name': 'organizationId', 'in': 'path', 'type': 'string', 'required': True}]"
